Replicon	models
ACBA002.0321.00101.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00102.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00102.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00102.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00103.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00103.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00103.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00103.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00104.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00105.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00106.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00106.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00107.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00107.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00108.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00108.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00109.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00109.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00110.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00110.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00110.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00111.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00111.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00111.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00111.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00112.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00112.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00112.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00112.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00112.P005	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00112.P006	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00113.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00114.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00115.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00116.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00117.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00117.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00117.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00118.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00118.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00119.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00119.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00119.P003	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00119.P004	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00120.C001	TFF-SF T2SS T4aP Tad ComM MSH T4bP
ACBA002.0321.00120.P002	TFF-SF T2SS T4aP Tad ComM MSH T4bP
